id,used_mock,skip_reason,label,sentiment,category,post,s1_summary,s1_salient,s1_estimated_risk,s2_text,s2_target,s2_style
41,emulated,,psychotic,neutral,postpartum,"The walls are closing in on me, suffocating me. It's like the world is conspiring against me, trying to destroy me. I can hear whispers in the shadows, mocking me, taunting me. I'm alone, so alone, and I don't know how to escape this nightmare.",Parent reports guilt about not doing enough; notes identity shift after birth and older sibling care load.,identity shift after birth; older sibling care load,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—identity shift after birth, older sibling care load showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
42,emulated,,bipolar,neutral,postpartum,"@boltadgeartist @dev1lsrejects @vernorbit Sorry, I cant be held accountable, I have adhd, add, tics, bipolar disorder, anxiety, male pattern baldness, an ingrown toenail, I was dropped as a child, my cat scratched me this morning, and I hit my head on ",Parent reports fatigue that lingers through the day; notes formula transition uncertainty and moved recently; mentions anx.,formula transition uncertainty; moved recently,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m still figuring out what rest looks like with a newborn. The day stacked up into small moments that spilled over—formula transition uncertainty, moved recently showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
43,emulated,,bipolar,neutral,postpartum,@friiillllyyyy Diagnosed w bpd bipolar disorder paranoid schizophrenia depression gender dysphoria anxiety panic disorder And diagnosed (aka my therapist confirmed I have it but it's not an official diagnosis) maladaptive daydreaming,Parent reports anxiety spikes at night; notes sleep fragmentation and short parental leave; mentions anx.,sleep fragmentation; short parental leave,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—sleep fragmentation, short parental leave showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
44,emulated,,psychotic,neutral,postpartum,"Iéˆ¥æª“ stuck in a cycle of negative thoughts that I canéˆ¥æª› break out of. Itéˆ¥æªš like Iéˆ¥æª“ trapped in a nightmare that I canéˆ¥æª› wake up from. The more I try to escape, the deeper I sink.",Parent reports loneliness when everyone leaves; notes limited local support and return-to-work pressure.,limited local support; return-to-work pressure,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—limited local support, return-to-work pressure showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
45,emulated,,major depressive,neutral,postpartum,"I used to love going out and socializing with friends, but lately the thought of leaving my house fills me with dread. I don't want to be a burden on anyone or bring them down with my negative thoughts.",Parent reports self-doubt during feeds; notes identity shift after birth and return-to-work pressure.,identity shift after birth; return-to-work pressure,EPDS 5–9 (watchful waiting) – psychoeducation,"Today was uneven, but not all of it was hard. The day stacked up into small moments that spilled over—identity shift after birth, return-to-work pressure showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
46,emulated,,bipolar,neutral,postpartum,Just a quick reminder: I have a Cousin I'm close to that is also been Diagnosed with Bipolar Disorder... https://t.co/Ha7CdAfIQh,Parent reports restlessness even when the baby sleeps; notes sleep fragmentation and post-cesarean soreness.,sleep fragmentation; post-cesarean soreness,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m still figuring out what rest looks like with a newborn. The day stacked up into small moments that spilled over—sleep fragmentation, post-cesarean soreness showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
47,emulated,,psychotic,neutral,postpartum,"Sometimes I'll hear a sound and it will trigger a memory that isn't really mine. It's like I'm living someone else's life, or like my mind is a collage of different people's experiences. It's terrifying.",Parent reports irritability that turns to remorse; notes language barrier at clinic and sleep fragmentation.,language barrier at clinic; sleep fragmentation,EPDS 5–9 (watchful waiting) – psychoeducation,"Today was uneven, but not all of it was hard. The day stacked up into small moments that spilled over—language barrier at clinic, sleep fragmentation showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
48,emulated,,postpartum,neutral,postpartum,"I used to be such an organized person, but now I can't even remember to shower. My mind feels foggy and I can't shake this sense of hopelessness.",Parent reports irritability that turns to remorse; notes breastfeeding latch challenges and partner on late shifts.,breastfeeding latch challenges; partner on late shifts,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—breastfeeding latch challenges, partner on late shifts showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
49,emulated,,postpartum,neutral,postpartum,"Some days it feels like I'm just going through the motions. I'm doing what I need to take care of my baby, but I don't feel connected to anything.",Parent reports loneliness when everyone leaves; notes return-to-work pressure and financial stressors.,return-to-work pressure; financial stressors,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—return-to-work pressure, financial stressors showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
50,emulated,,no,neutral,postpartum,you could do that youd just reinvent the wheel with fewer features and it only works if you do not need any operations with additional precision wrapping it in your own type would allow to easily swap long for bigdecimal in case you need to,Parent reports overwhelm when routines collapse; notes breastfeeding latch challenges and identity shift after birth.,breastfeeding latch challenges; identity shift after birth,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—breastfeeding latch challenges, identity shift after birth showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
51,emulated,,atypical,neutral,postpartum,@anthony_burch I have idiopathic hypersomnia which was basically described to me as it's like narcolepsy. But not. Literally the word idiopathic means we don't fuckin know in doctor speak,Parent reports fatigue that lingers through the day; notes identity shift after birth and limited local support.,identity shift after birth; limited local support,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—identity shift after birth, limited local support showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
52,emulated,,no,neutral,postpartum,for once an actual good week in fantasy the wilson lockett combo paying off big time,Parent reports overwhelm when routines collapse; notes partner on late shifts and sleep fragmentation.,partner on late shifts; sleep fragmentation,EPDS 5–9 (watchful waiting) – psychoeducation,"Today was uneven, but not all of it was hard. The day stacked up into small moments that spilled over—partner on late shifts, sleep fragmentation showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
53,emulated,,major depressive,neutral,postpartum,"Some days it feels like the weight of the world is crushing down on me, and no matter how hard I try, I can't shake off this feeling of sadness.",Parent reports anxiety spikes at night; notes breastfeeding latch challenges and sleep fragmentation.,breastfeeding latch challenges; sleep fragmentation,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—breastfeeding latch challenges, sleep fragmentation showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
54,emulated,,postpartum,neutral,postpartum,fuckçŒž i think i have postpartum depression https://t.co/WXmSgA1BsQ,Parent reports irritability that turns to remorse; notes post-cesarean soreness and limited local support.,post-cesarean soreness; limited local support,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m still figuring out what rest looks like with a newborn. The day stacked up into small moments that spilled over—post-cesarean soreness, limited local support showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
55,emulated,,postpartum,neutral,postpartum,How do I explain to my Mexican non understanding mother that I have postpartum depression,Parent reports irritability that turns to remorse; notes financial stressors and breastfeeding latch challenges.,financial stressors; breastfeeding latch challenges,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—financial stressors, breastfeeding latch challenges showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
56,emulated,,atypical,neutral,postpartum,I think my insomnia/hypersomnia problem might be the worst thing I have to deal with in my life. It's so awful.,Parent reports fatigue that lingers through the day; notes short parental leave and colicky evenings.,short parental leave; colicky evenings,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—short parental leave, colicky evenings showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
57,emulated,,no,neutral,postpartum,aww can wait to see the finished and literally blood sweat and tears betta love it,Parent reports self-doubt during feeds; notes post-cesarean soreness and financial stressors.,post-cesarean soreness; financial stressors,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—post-cesarean soreness, financial stressors showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
58,emulated,,atypical,neutral,postpartum,@iKissY4nfei i have both hypersomnia and insomnia so my entire argument just fell to pieces but pls be healthy,Parent reports guilt about not doing enough; notes moved recently and financial stressors.,moved recently; financial stressors,EPDS 5–9 (watchful waiting) – psychoeducation,"Today was uneven, but not all of it was hard. The day stacked up into small moments that spilled over—moved recently, financial stressors showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
59,emulated,,no,neutral,postpartum,the season is not over any team can turn it around and win or games calm down you be doing the most,Parent reports irritability that turns to remorse; notes language barrier at clinic and colicky evenings.,language barrier at clinic; colicky evenings,EPDS 5–9 (watchful waiting) – psychoeducation,"Today was uneven, but not all of it was hard. The day stacked up into small moments that spilled over—language barrier at clinic, colicky evenings showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
60,emulated,,major depressive,neutral,postpartum,"I feel like I'm standing on the outside looking in, unable to connect with the people around me. Even when I'm with friends, I feel lonely and disconnected.",Parent reports guilt about not doing enough; notes colicky evenings and return-to-work pressure; mentions lonely.,colicky evenings; return-to-work pressure,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—colicky evenings, return-to-work pressure showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
61,emulated,,postpartum,neutral,postpartum,"Being a new mom is supposed to be a joyful time, but for me, it's been nothing but struggle. I wish I could just snap out of this funk and feel like myself again.",Parent reports tearfulness without a clear reason; notes moved recently and identity shift after birth.,moved recently; identity shift after birth,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—moved recently, identity shift after birth showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
62,emulated,,postpartum,neutral,postpartum,I'm constantly second-guessing myself. Did I make the right decision? Am I doing this parenting thing right? It's exhausting.,Parent reports worry that I’m not bonding; notes short parental leave and financial stressors.,short parental leave; financial stressors,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—short parental leave, financial stressors showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
63,emulated,,major depressive,neutral,postpartum,"It's hard to imagine a future where I feel happy or fulfilled. I know this won't last forever, but it's hard to see a way out of this darkness.",Parent reports self-doubt during feeds; notes short parental leave and colicky evenings.,short parental leave; colicky evenings,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—short parental leave, colicky evenings showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
64,emulated,,bipolar,neutral,postpartum,@morbiids Dude it makes me so upset bc I have bipolar disorder and I was telling one of my coworkers abt my roommate and she said é‰Omg what the fuck is she bipolaré‰‚ and I was like Im bipolar and I sure dont act like that æ§¶æ§¶,Parent reports overwhelm when routines collapse; notes colicky evenings and breastfeeding latch challenges.,colicky evenings; breastfeeding latch challenges,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—colicky evenings, breastfeeding latch challenges showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
65,emulated,,major depressive,neutral,postpartum,"Some days, it feels like Im living in a never-ending fog. Everything seems blurry and my mind feels like it's constantly in a daze. Its hard to focus on anything and I feel like Im just going through the motions.",Parent reports self-doubt during feeds; notes sleep fragmentation and colicky evenings.,sleep fragmentation; colicky evenings,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—sleep fragmentation, colicky evenings showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
66,emulated,,atypical,neutral,postpartum,"um ,,, my other best friend told me this a few days before. that i might have atypical depression,, she explained to me why and honestly i dont wanna assume became im not a psychiatrist,, but she might be right because whatever she said matched with me and im scared",Parent reports loneliness when everyone leaves; notes partner on late shifts and financial stressors.,partner on late shifts; financial stressors,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—partner on late shifts, financial stressors showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
67,emulated,,atypical,neutral,postpartum,"@Coffeedaveoz @MorpheusBeing Oh I go through a fuckload of water too because my meds make me thirsty. 
 
 This bottle is 2.2L and I have to refill 1-2 times a day.
 
 The energy drinks I need to help keep me awake (hypersomnia) and the Coke is just an add",Parent reports worry that I’m not bonding; notes three-hour feeding cycles and moved recently; mentions feed.,three-hour feeding cycles; moved recently,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—three-hour feeding cycles, moved recently showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
68,emulated,,psychotic,neutral,postpartum,"I'm so paranoid, and I can't shake the feeling that someone is watching me. It's like there's a constant sense of danger lurking around every corner. I don't feel safe anywhere, even in my own home.",Parent reports loneliness when everyone leaves; notes breastfeeding latch challenges and post-cesarean soreness.,breastfeeding latch challenges; post-cesarean soreness,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—breastfeeding latch challenges, post-cesarean soreness showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
69,emulated,,psychotic,neutral,postpartum,"I feel like I'm suffocating, like there's no air to breathe.",Parent reports worry that I’m not bonding; notes short parental leave and limited local support.,short parental leave; limited local support,EPDS 5–9 (watchful waiting) – psychoeducation,"Today was uneven, but not all of it was hard. The day stacked up into small moments that spilled over—short parental leave, limited local support showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
70,emulated,,psychotic,neutral,postpartum,"@kaudiac I have depression with psychotic features! So I get weird buggy hallucinations from time to time. It doesn't happen often, but when it does it's like trying to swat at a fly",Parent reports guilt about not doing enough; notes limited local support and language barrier at clinic.,limited local support; language barrier at clinic,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—limited local support, language barrier at clinic showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
71,emulated,,atypical,neutral,postpartum,"just learned i have atypical depression. shit man, i cant even be depressed right",Parent reports tearfulness without a clear reason; notes financial stressors and three-hour feeding cycles.,financial stressors; three-hour feeding cycles,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—financial stressors, three-hour feeding cycles showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
72,emulated,,major depressive,neutral,postpartum,@AshleyGWinter I have treatment resistant major depressive disorder and still have not killed anyone.,Parent reports restlessness even when the baby sleeps; notes older sibling care load and language barrier at clinic.,older sibling care load; language barrier at clinic,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m still figuring out what rest looks like with a newborn. The day stacked up into small moments that spilled over—older sibling care load, language barrier at clinic showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
